source,source_id,company,title,url,initial_decision,final_decision,verification_status,confidence,florida_eligible,remote_status,employment_type,salary_min,salary_max,travel_percentage,clearance_required,sponsorship_status,evidence,unresolved,verified_at
lever,529edd7b-5e37-4d8c-9b91-c48776764e70,Arcadia,Business Development Representative,https://jobs.lever.co/arcadia/529edd7b-5e37-4d8c-9b91-c48776764e70,verify,verify,unresolved,0.69,,remote,full-time,,,,,,,florida_eligibility | compensation,2026-08-31T12:36:58.766422+00:00
lever,648a0928-f5df-4d5e-856b-a9a7a9115cc6,Arcadia,Chief of Staff - Commercial Strategy,https://jobs.lever.co/arcadia/648a0928-f5df-4d5e-856b-a9a7a9115cc6,verify,verify,partial,0.83,True,remote,full-time,,,,,,Posting permits remote work throughout the United States.,compensation,2026-08-31T12:36:58.767740+00:00
lever,878f8c29-b287-488d-b6c0-e65e059f24b4,Arcadia,Customer Success Manager,https://jobs.lever.co/arcadia/878f8c29-b287-488d-b6c0-e65e059f24b4,verify,verify,partial,0.59,,remote,contract,,,,,,Posting indicates non-full-time employment.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.769672+00:00
lever,894ccc47-f430-4391-8dc1-063079c602db,Arcadia,"Director, Analytics",https://jobs.lever.co/arcadia/894ccc47-f430-4391-8dc1-063079c602db,verify,verify,partial,0.83,True,remote,full-time,,,,,,Posting permits remote work throughout the United States.,compensation,2026-08-31T12:36:58.770618+00:00
lever,27185ca2-8b98-4b80-9098-e69b74818b61,Arcadia,"Director, Training and Enablement",https://jobs.lever.co/arcadia/27185ca2-8b98-4b80-9098-e69b74818b61,verify,verify,partial,0.83,True,remote,full-time,,,,,,Posting permits remote work throughout the United States.,compensation,2026-08-31T12:36:58.772036+00:00
lever,facff254-78e3-4328-83f4-fd13fa7ef627,Arcadia,Enterprise Implementation Manager,https://jobs.lever.co/arcadia/facff254-78e3-4328-83f4-fd13fa7ef627,verify,verify,unresolved,0.69,,remote,full-time,,,,,,,florida_eligibility | compensation,2026-08-31T12:36:58.773606+00:00
lever,bc61c1d1-8824-43b3-a90d-a0016c8c5989,Arcadia,Head of Revenue Operations,https://jobs.lever.co/arcadia/bc61c1d1-8824-43b3-a90d-a0016c8c5989,verify,verify,partial,0.83,True,remote,full-time,,,,,,Posting permits remote work throughout the United States.,compensation,2026-08-31T12:36:58.774990+00:00
lever,af9ca658-6c46-46fd-a02b-6a3d2d0b0811,Arcadia,Implementation Manager,https://jobs.lever.co/arcadia/af9ca658-6c46-46fd-a02b-6a3d2d0b0811,verify,verify,partial,0.59,,remote,contract,,,,,,Posting indicates non-full-time employment.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.776214+00:00
lever,16fb294b-eb50-4f1d-a3e9-fd0c34a8594e,Arcadia,Lead Analytics Engineer - Data Modeling & Quality,https://jobs.lever.co/arcadia/16fb294b-eb50-4f1d-a3e9-fd0c34a8594e,verify,verify,partial,0.83,True,hybrid,full-time,,,,,,Posting permits remote work throughout the United States.,compensation,2026-08-31T12:36:58.777305+00:00
lever,47266731-ae74-43bc-9d25-13d9662b628c,Arcadia,Office Support Coordinator,https://jobs.lever.co/arcadia/47266731-ae74-43bc-9d25-13d9662b628c,verify,verify,unresolved,0.57,,onsite,part-time,,,,,,,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.778145+00:00
lever,8d01e985-fc84-4097-ab31-ca2a328d8e11,Arcadia,"Principal Product Manager, AI Product",https://jobs.lever.co/arcadia/8d01e985-fc84-4097-ab31-ca2a328d8e11,verify,verify,partial,0.83,True,remote,full-time,,,,,,Posting permits remote work throughout the United States.,compensation,2026-08-31T12:36:58.779260+00:00
lever,631c2c22-0759-4f84-a9a1-11305917c510,Arcadia,Principal Software Engineer-Platforms,https://jobs.lever.co/arcadia/631c2c22-0759-4f84-a9a1-11305917c510,verify,verify,partial,0.83,True,remote,full-time,,,,,,Posting permits remote work throughout the United States.,compensation,2026-08-31T12:36:58.780495+00:00
lever,de04a85c-78c2-4b90-ad4e-31c94e0987f3,Arcadia,Revenue Operations Staff Systems Engineer,https://jobs.lever.co/arcadia/de04a85c-78c2-4b90-ad4e-31c94e0987f3,verify,verify,partial,0.71,True,remote,full-time remote,,,,,,Posting permits remote work throughout the United States.,employment_type | compensation,2026-08-31T12:36:58.782074+00:00
lever,371d9d87-3684-4acb-b73c-202855b329a6,Arcadia,"Senior / Lead Analyst, Customer Insights",https://jobs.lever.co/arcadia/371d9d87-3684-4acb-b73c-202855b329a6,verify,review,complete,0.95,True,remote,full-time,125000,145000,,,,Posting permits remote work throughout the United States.,,2026-08-31T12:36:58.783692+00:00
lever,67cc8e4a-92bc-4d3b-a158-1098c15939e0,Arcadia,"Staff Applied AI Engineer, Product & Agent Performance",https://jobs.lever.co/arcadia/67cc8e4a-92bc-4d3b-a158-1098c15939e0,verify,verify,partial,0.83,True,remote,full-time,,,,,,Posting permits remote work throughout the United States.,compensation,2026-08-31T12:36:58.784818+00:00
